Batalha de Gigantes;Fun and Fancy Free;TRUE;TRUE;1947;70;Animação;Images\5601887430178.15F.jpg
Batman para Sempre;Batman Forever;TRUE;TRUE;1995;115;Acção;Images\5606376273946.15F.jpg
Batman Regressa;Batman Returns;TRUE;TRUE;1992;122;Acção;Images\7321976150005.15F.jpg
Batman: O Cavaleiro das Trevas;The Dark Knight;TRUE;TRUE;2008;146;Acção;Images\5600304200684.15F.jpg
Beijo da Morte;Kiss of Death;FALSE;TRUE;1995;97;Suspense/Thriller;Images\5600304163552.15F.jpg
Beijos & balas;Killers;FALSE;TRUE;2010;100;Acção;Images\5602193354288.15F.jpg
Bela loucura;Crazy/Beautiful;TRUE;TRUE;2001;95;Drama;Images\5601887430086.15F.jpg
Beleza Americana;American Beauty;TRUE;TRUE;1999;117;Drama;Images\0678149096125.15F.jpg
Belleville Rendez-Vous;Les Triplettes de Belleville;TRUE;TRUE;2003;78;0;Images\5602227302001.15F.jpg
Bem Vindos à Selva;The Rundown;TRUE;TRUE;2003;100;Acção;Images\8414533025928.15F.jpg
Beowulf & Grendel - A lenda dos Vikings;Beowulf & Grendel;TRUE;TRUE;2005;100;0;Images\5600304169677.15F.jpg
Betty;Nurse Betty;TRUE;TRUE;2000;105;Comédia;Images\5601887461745.15F.jpg
Big;0;TRUE;TRUE;1988;100;0;Images\5608652005913.15F.jpg
Billy Elliot;0;TRUE;TRUE;2000;106;Drama;Images\5601887427666.15F.jpg
Birth - O Mistério;Birth;FALSE;TRUE;2004;96;0;Images\I4E85D939AD7E1019.15F.jpg
Biutiful;0;TRUE;TRUE;2010;142;Drama;Images\5600304220026.15F.jpg
Blackmail;0;TRUE;TRUE;1929;86;Suspense/Thriller;Images\I738D1217FD5B1B10.15F.jpg
Bloody Sunday - Domingo Sangrento;Bloody Sunday;TRUE;TRUE;2002;110;Drama;Images\5608652014441.15F.jpg
Blue Car;0;TRUE;TRUE;2002;84;Drama;Images\5600304160339.15F.jpg
Blue Smoke;0;TRUE;TRUE;2007;95;0;Images\043396212213F.jpg
Bob o Construtor: O Lagartas Adora Brincar com a Lama;Bob The Builder: Mucky Muck;TRUE;TRUE;2006;54;Animação;Images\5608652029711.15F.jpg
Bobby;0;TRUE;TRUE;2006;112;Drama;Images\5600304175661.15F.jpg
Bobby Z;The Death and Life of Bobby Z;TRUE;TRUE;2007;93;0;Images\5602193346832.15F.jpg
BOLT;Bolt;TRUE;TRUE;2008;93;Animação;Images\5601887531257.15F.jpg
Bond Girls são Eternas;007 - Bond Girls Are Forever;TRUE;TRUE;2007;46;Documentário;Images\I61A19BFAFF917684.15F.jpg
Bordertown - Cidade sob Ameaça;Bordertown;TRUE;TRUE;2006;107;Suspense/Thriller;Images\5602193346153.15F.jpg
Bounce Um Acaso com Sentido;Bounce;FALSE;TRUE;2000;102;Romance;Images\5608652021210.15F.jpg
Bourne 03: Ultimato;The Bourne Ultimatum;TRUE;TRUE;2007;110;Acção;Images\5600402401365.15F.jpg
Branca de Neve e os Sete Anões;Snow White and the Seven Dwarfs;TRUE;TRUE;1937;80;0;Images\5601887424061.15F.jpg
